T	Rxx_Sept 2024_#2 by Chris
1.9999	0.5327044
2	0.5326869
2	0.5326995
1.9999	0.5326995
1.9999	0.5326959
2	0.5326959
1.9998	0.5327042
1.9998	0.5327042
1.9998	0.532693
1.9999	0.532693
1.9998	0.5327044
1.9997	0.5327044
1.9997	0.5327039
1.9996	0.5327039
1.9997	0.5326987
2.0013	0.5326987
2.0004	0.5326938
2	0.5326818
2	0.5326818
1.9999	0.5327009
1.9999	0.5327009
1.9999	0.5327033
1.9998	0.5327033
1.9997	0.5326924
1.9998	0.5326924
1.9997	0.5326985
1.9997	0.5326985
2.0014	0.5327115
2.0007	0.5327115
2.0003	0.5327074
2.0001	0.532693
2	0.532693
1.9999	0.5327096
1.9999	0.5327096
1.9998	0.5327058
1.9997	0.5327058
1.9997	0.5326968
1.9997	0.5326968
1.9997	0.532699
1.9997	0.532699
2.0004	0.5326818
2	0.5326818
1.9998	0.5326905
1.9998	0.5326905
1.9997	0.5327094
2.0009	0.5326949
2.0002	0.5326949
1.9999	0.5326911
1.9998	0.5326911
1.9998	0.5326998
1.9997	0.5326998
1.9997	0.5327082
2.0007	0.5327082
2.0001	0.5326867
1.9998	0.5326867
1.9997	0.5327052
2.0006	0.5327052
2.0003	0.5326943
1.9998	0.5326943
1.9996	0.5326908
1.9996	0.5327074
2.0009	0.5327074
2.0005	0.5327033
2	0.5327033
1.9998	0.5326895
1.9997	0.5326895
1.9996	0.5326883
2.0008	0.5326883
2.0001	0.532685
1.9999	0.532685
1.9997	0.5327126
1.9996	0.5327126
2.0013	0.5327004
2.0003	0.5327004
1.9998	0.5326984
1.9997	0.5326905
1.9996	0.5326905
1.9994	0.5326892
2.0005	0.5326892
1.9999	0.5326897
1.9997	0.5326897
1.9996	0.5327118
2.0001	0.5327118
2.0006	0.5326889
1.9999	0.5326889
1.9997	0.532699
1.9995	0.5326892
2.0007	0.5326892
2.0001	0.5327058
1.9999	0.5327058
1.9996	0.5327132
1.9995	0.5327132
2.0013	0.5326853
1.9999	0.5326853
1.9996	0.5326954
1.9996	0.5326954
2.0012	0.5326987
2.0007	0.5326987
1.9999	0.5326946
1.9996	0.5326946
1.9996	0.5326911
1.9994	0.5326911
2.0013	0.5326998
2	0.5326788
1.9997	0.5326788
1.9996	0.5327088
2.0005	0.5327088
2.0004	0.5326892
1.9998	0.5326892
1.9996	0.5327156
1.9995	0.5327156
2.002	0.5327085
2.0001	0.5327085
1.9997	0.5327221
1.9996	0.5326952
1.9994	0.5326952
2.0004	0.5327058
2.0005	0.5327058
1.9999	0.532717
1.9996	0.532717
1.9993	0.5326897
2.0013	0.5326897
2.0005	0.5327001
1.9998	0.5327001
1.9995	0.5326921
1.9993	0.5326921
2.0015	0.5327025
2	0.5326856
1.9997	0.5326856
1.9993	0.532703
1.9999	0.532703
2.0002	0.5327197
1.9996	0.5327197
1.9994	0.5327001
2.0005	0.5327001
2	0.5326938
1.9995	0.5326938
1.9994	0.5327074
2.0014	0.5327074
2.0003	0.5326995
1.9996	0.5326995
1.9992	0.5326856
2.0009	0.5327126
2.0001	0.5327126
1.9997	0.5327033
1.9994	0.5327033
1.9997	0.5326962
2.0002	0.5326962
1.9997	0.5326823
1.9992	0.5326823
2.0016	0.5326952
1.9996	0.5326952
1.9992	0.5327093
2.0002	0.5327093
2.0002	0.5327055
1.9994	0.5327001
1.9991	0.5327001
2.0013	0.532694
1.9999	0.532694
1.9993	0.5327028
2.0001	0.5327028
2.0008	0.5327191
1.9995	0.5327191
2.0004	0.5327131
2.001	0.5327131
1.9996	0.5326853
1.9992	0.5326853
2.0014	0.5327014
2.0001	0.5327014
1.9993	0.532712
2.0001	0.532712
2	0.5327006
1.9994	0.5327219
2.0007	0.5327219
2.0015	0.5326995
1.9998	0.5326995
1.9993	0.5326973
1.999	0.5326973
2.0009	0.5326889
1.9999	0.5326889
1.9992	0.5326957
2.0009	0.5326957
2	0.5326889
1.9994	0.5327229
1.9991	0.5327229
2.0008	0.5326943
1.9995	0.5326943
1.9992	0.5327072
2.0009	0.5327072
1.9998	0.5326976
1.9992	0.5326976
2.0011	0.5327042
2.0002	0.5327042
1.9993	0.5327009
2	0.5327009
1.9999	0.5327036
1.9992	0.5326889
2.0012	0.5326889
1.9999	0.5327006
1.9993	0.5327006
1.999	0.5327088
2.0006	0.5327088
1.9994	0.5327014
1.9993	0.5327014
2.0016	0.5327186
1.9995	0.5327186
1.9991	0.5326995
2.0016	0.5326995
2.0002	0.5326995
1.9993	0.5326995
1.999	0.5326914
2.0016	0.5326914
1.9998	0.5327047
1.999	0.5326913
2.0016	0.5326913
1.9998	0.5326957
1.9989	0.5326957
2.0009	0.5326933
1.9999	0.5326933
1.9993	0.532699
1.999	0.532699
2.001	0.5326919
1.9997	0.5326919
1.9989	0.5326971
2.0009	0.5327006
1.9996	0.5327006
2.0004	0.5326883
2.0009	0.5326883
2.0013	0.5326976
1.9995	0.5326976
1.9989	0.5326927
2.0005	0.5326927
2	0.5326921
1.9996	0.5326921
2.0006	0.5326987
2.0006	0.5326987
1.9995	0.5327061
1.9997	0.5327061
1.9997	0.5326859
1.9995	0.532702
1.9993	0.532702
2.0005	0.5326826
1.9998	0.5326826
1.9996	0.5326881
1.9994	0.5326881
2.0015	0.5327009
1.9998	0.5327009
1.9994	0.5327058
2.0002	0.5327058
2.001	0.5327072
1.9999	0.5327072
1.9993	0.5327006
1.9992	0.5327006
2.0008	0.5327025
1.9997	0.5327025
1.9991	0.5327009
2.0009	0.5326933
1.9997	0.5326933
1.9992	0.5327058
2.0009	0.5327058
1.9996	0.5326862
1.9991	0.5326862
2.0014	0.5327017
1.9999	0.5327017
1.999	0.5326976
2.0007	0.5326976
2.0008	0.5327039
1.9993	0.5327066
2.0007	0.5327066
2.0006	0.5326859
1.9992	0.5326859
2.0001	0.532693
2	0.532693
1.9992	0.5327148
2.0009	0.5327148
2.0007	0.53269
1.9992	0.53269
1.9988	0.5327033
2.0009	0.5327033
1.9994	0.5327001
1.9989	0.5327001
2.0008	0.5326982
1.9995	0.5326982
2.0003	0.5327069
2.0017	0.5326959
1.9993	0.5326959
2.0005	0.5326946
2.0007	0.5326946
1.9991	0.5327022
2.0007	0.5327022
1.9997	0.5326919
1.9989	0.5326919
2.0013	0.5326946
1.9998	0.5326946
1.9993	0.532702
2.0013	0.532702
1.9994	0.532694
1.9996	0.5327042
2.0012	0.5327042
1.9994	0.5327085
2.0003	0.5327085
2.0015	0.5326561
1.9989	0.5326561
1.9995	0.5326959
2.0014	0.5326959
1.9991	0.5327072
1.9988	0.5327072
2.001	0.5326895
1.9996	0.5326895
1.9988	0.5326982
2.0013	0.5326766
1.9992	0.5326766
2.0003	0.5327006
2	0.5327006
1.999	0.5327063
2.0011	0.5327063
1.9999	0.5327009
1.9988	0.5327009
2.001	0.5326837
1.9994	0.5326837
1.9989	0.5327025
2.0013	0.5327025
1.9992	0.5327151
2.0007	0.5327049
2.0003	0.5327049
1.9993	0.5326769
2.0013	0.5326769
2.0001	0.5326959
1.9997	0.5326959
1.9991	0.5327145
2.0008	0.5327145
1.9997	0.5327009
1.999	0.5327009
2.0012	0.5327099
1.9999	0.5327099
1.9994	0.5326894
2.0013	0.5326894
1.9993	0.532703
1.9994	0.532703
2.001	0.5326935
1.9993	0.5326979
2.0003	0.5326979
2.0015	0.5326935
1.9992	0.5326935
