T	Rhoxx_Dec_2023	Rhoxx_Sept_2024
98.3794	1.19289622E-5	8.41121E-6
97.9645	1.19145222E-5	8.405765E-6
97.5512	1.1907585E-5	8.400085E-6
97.1614	1.18989714E-5	8.39424E-6
96.7598	1.18989714E-5	8.38786E-6
96.3344	1.18848666E-5	8.38319E-6
95.8802	1.18829816E-5	8.376455E-6
95.4861	1.18703336E-5	8.37149E-6
95.0977	1.18567258E-5	8.365975E-6
94.6359	1.18498698E-5	8.354015E-6
94.2426	1.18498698E-5	8.34989E-6
93.8207	1.18353136E-5	8.344535E-6
93.4051	1.18283302E-5	8.338105E-6
92.9861	1.18172892E-5	8.33315E-6
92.5744	1.180619E-5	8.3273E-6
92.154	1.1796201E-5	8.32041E-6
91.7402	1.17873564E-5	8.31501E-6
91.3218	1.17873564E-5	8.308965E-6
90.8996	1.17730312E-5	8.30309E-6
90.4984	1.17643372E-5	8.29796E-6
90.0604	1.17553078E-5	8.29288E-6
89.6898	1.1744532E-5	8.28678E-6
89.3158	1.17277906E-5	8.281095E-6
88.9043	1.1725016E-5	8.27567E-6
88.4606	1.1725016E-5	8.27079E-6
88.0179	1.17145986E-5	8.264655E-6
87.5593	1.17043666E-5	8.25849E-6
87.1705	1.16929666E-5	8.253225E-6
86.7882	1.16841912E-5	8.24798E-6
86.3831	1.16758786E-5	8.24169E-6
85.9395	1.16669648E-5	8.23611E-6
85.5443	1.16669648E-5	8.231305E-6
85.0773	1.1654409E-5	8.22527E-6
84.6774	1.16452866E-5	8.219855E-6
84.2715	1.1634615E-5	8.20734E-6
83.8267	1.16219208E-5	8.203125E-6
83.4168	1.16175734E-5	8.197565E-6
82.992	1.16064742E-5	8.19121E-6
82.5928	1.16064742E-5	8.184855E-6
82.1699	1.15952014E-5	8.179805E-6
81.7682	1.15843572E-5	8.173715E-6
81.3802	1.15709454E-5	8.16828E-6
81.0056	1.15618698E-5	8.162625E-6
80.661	1.15557424E-5	8.15645E-6
80.3047	1.15557424E-5	8.15103E-6
79.9024	1.1545603E-5	8.146145E-6
79.5219	1.1539799E-5	8.14034E-6
79.1888	1.15275898E-5	8.13508E-6
78.8293	1.15157276E-5	8.13069E-6
78.5302	1.15097158E-5	8.12496E-6
78.1554	1.15023158E-5	8.11954E-6
77.7495	1.15023158E-5	8.114235E-6
77.1714	1.14940264E-5	8.110395E-6
76.572	1.14845924E-5	8.103835E-6
75.9011	1.1469689E-5	8.097115E-6
75.2716	1.14581972E-5	8.08994E-6
74.851	1.14433058E-5	8.082715E-6
74.5914	1.1427559E-5	8.074135E-6
74.3349	1.1427559E-5	8.059835E-6
74.0616	1.14198126E-5	8.054765E-6
73.71	1.14086672E-5	8.04894E-6
73.2205	1.140417E-5	8.04476E-6
72.7258	1.13911978E-5	8.039885E-6
72.2729	1.13776132E-5	8.0344E-6
71.8684	1.13684908E-5	8.028155E-6
71.4436	1.13684908E-5	8.02111E-6
71.0841	1.1358016E-5	8.01629E-6
70.6751	1.13487788E-5	8.0102E-6
70.2774	1.13391594E-5	8.00454E-6
69.8231	1.13289736E-5	7.9988E-6
69.4132	1.13143482E-5	7.99392E-6
68.9771	1.13143482E-5	7.98781E-6
68.6282	1.13092496E-5	7.98168E-6
68.1428	1.1306706E-5	7.975905E-6
67.7637	1.12979308E-5	7.96896E-6
67.3233	1.12839878E-5	7.965765E-6
66.9833	1.12730966E-5	7.962925E-6
66.5546	1.12574078E-5	7.95821E-6
66.1743	1.12574078E-5	7.952635E-6
65.762	1.12519272E-5	7.945945E-6
65.4207	1.12414644E-5	7.94038E-6
64.9645	1.12303302E-5	7.92744E-6
64.5575	1.1219173E-5	7.924245E-6
64.1248	1.1213959E-5	7.91895E-6
63.7798	1.1197032E-5	7.91238E-6
63.3763	1.1197032E-5	7.90666E-6
62.9672	1.11961998E-5	7.900015E-6
62.6315	1.11887194E-5	7.893975E-6
62.2138	1.11792504E-5	7.88859E-6
61.7798	1.1170417E-5	7.883355E-6
61.4453	1.1161445E-5	7.87692E-6
61.064	1.11551672E-5	7.87016E-6
60.7731	1.11551672E-5	7.86563E-6
60.4019	1.11422994E-5	7.858975E-6
60.0653	1.1134287E-5	7.855955E-6
59.6752	1.11229338E-5	7.851005E-6
59.3013	1.11173614E-5	7.845385E-6
58.7081	1.11106322E-5	7.8394E-6
58.0347	1.11106322E-5	7.833705E-6
57.5748	1.10970706E-5	7.826075E-6
57.193	1.10840984E-5	7.81812E-6
56.9639	1.10688836E-5	7.81081E-6
56.7368	1.10570788E-5	7.806575E-6
56.3302	1.10515646E-5	7.80035E-6
55.9794	1.10411122E-5	7.796475E-6
55.4982	1.10411122E-5	7.7865E-6
55.0913	1.10304988E-5	7.780305E-6
54.6342	1.10270188E-5	7.77463E-6
54.2037	1.10188336E-5	7.768165E-6
53.8683	1.10124864E-5	7.763325E-6
53.4586	1.1002335E-5	7.757165E-6
53.1258	1.09923572E-5	7.7521E-6
52.7111	1.09923572E-5	7.747945E-6
52.2812	1.09766104E-5	7.74338E-6
51.924	1.09675922E-5	7.7371E-6
51.4805	1.0955245E-5	7.7327E-6
51.053	1.09445736E-5	7.7264E-6
50.6256	1.09305956E-5	7.722215E-6
50.2874	1.0917566E-5	7.71632E-6
49.8865	1.0917566E-5	7.711085E-6
49.5687	1.09112874E-5	7.70563E-6
